Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2022-08-05,20:15,Benfica,2.7,4–0,0.4,Arouca,52617,Estádio do Sport Lisboa e Benfica,Manuel Mota,Match Report,
1,Sat,2022-08-06,15:30,Rio Ave,0.2,0–1,1.4,Vizela,3038,Estádio do Rio Ave Futebol Clube,Gustavo Correia,Match Report,
1,Sat,2022-08-06,18:00,Estoril,1.8,2–0,1.5,Famalicão,1473,Estádio António Coimbra da Mota,Nuno Almeida,Match Report,
1,Sat,2022-08-06,20:30,Porto,3.2,5–1,1.6,Marítimo,46309,Estádio Do Dragão,Hélder Malheiro,Match Report,
1,Sun,2022-08-07,14:30 (15:30),Santa Clara,0.3,0–0,1.3,Casa Pia,1785,Estádio de São Miguel,Bruno Jose Costa,Match Report,
1,Sun,2022-08-07,18:00,Braga,1.4,3–3,1.8,Sporting CP,17714,Estádio Municipal de Braga,Fábio Veríssimo,Match Report,
1,Sun,2022-08-07,20:30,Portimonense,1.3,0–1,0.7,Boavista,2590,Estádio do Portimonense SC,Cláudio Ruivo Pereira,Match Report,
1,Sun,2022-08-07,20:30,Chaves,0.9,0–1,1.0,Vitória,7526,Estádio Municipal Eng. Manuel Branco Tei...,Manuel Oliveira,Match Report,
1,Mon,2022-08-08,20:15,Gil Vicente FC,1.4,1–0,0.9,Paços,4871,Estádio Cidade de Barcelos,André Narciso,Match Report,
,,,,,,,,,,,,,
2,Fri,2022-08-12,20:15,Famalicão,1.0,0–3,2.3,Braga,4637,Estádio Municipal 22 de Junho,Luís Godinho,Match Report,
2,Sat,2022-08-13,18:00,Casa Pia,0.2,0–1,1.6,Benfica,22253,Estádio Pina Manique,Tiago Martins,Match Report,
2,Sat,2022-08-13,20:30,Sporting CP,2.2,3–0,0.1,Rio Ave,31760,Estádio José Alvalade,Manuel Mota,Match Report,
2,Sun,2022-08-14,15:30,Boavista,2.1,2–1,0.4,Santa Clara,5520,Estádio do Bessa Século XXI,Hélder Malheiro,Match Report,
2,Sun,2022-08-14,18:00,Vizela,0.2,0–1,0.9,Porto,4679,Estádio Do Vizela,Fábio Veríssimo,Match Report,
2,Sun,2022-08-14,20:30,Vitória,1.1,1–0,0.5,Estoril,15652,Estádio Dom Afonso Henriques,Cláudio Ruivo Pereira,Match Report,
2,Mon,2022-08-15,15:30,Marítimo,1.0,1–2,2.4,Chaves,6827,Estádio dos Barreiros,Ricardo Baixinho,Match Report,
2,Mon,2022-08-15,18:00,Arouca,0.8,1–0,1.0,Gil Vicente FC,1759,Estádio Municipal de Arouca,Nuno Almeida,Match Report,
2,Mon,2022-08-15,20:30,Paços,0.5,0–3,1.0,Portimonense,2661,Estádio da Capital do Móvel,João Pinheiro,Match Report,
,,,,,,,,,,,,,
3,Fri,2022-08-19,20:15,Estoril,1.0,2–2,0.7,Rio Ave,1742,Estádio António Coimbra da Mota,Vitor Ferreira Fernandes,Match Report,
3,Sat,2022-08-20,14:30 (15:30),Santa Clara,1.4,1–2,1.3,Arouca,1172,Estádio de São Miguel,Hélder Carvalho,Match Report,
3,Sat,2022-08-20,18:00,Chaves,0.6,1–1,1.0,Vizela,5489,Estádio Municipal Eng. Manuel Branco Tei...,Rui Costa,Match Report,
3,Sat,2022-08-20,20:30,Porto,3.0,3–0,0.8,Sporting CP,49430,Estádio Do Dragão,Nuno Almeida,Match Report,
3,Sun,2022-08-21,15:30,Casa Pia,1.4,2–0,0.8,Boavista,1136,Estádio Pina Manique,Pierre Gaillouste,Match Report,
3,Sun,2022-08-21,18:00,Braga,1.8,5–0,0.3,Marítimo,12358,Estádio Municipal de Braga,António Nobre,Match Report,
3,Sun,2022-08-21,20:30,Portimonense,1.9,2–1,1.1,Vitória,3032,Estádio do Portimonense SC,Ricardo Baixinho,Match Report,
3,Mon,2022-08-22,20:15,Gil Vicente FC,1.1,0–0,0.6,Famalicão,4245,Estádio Cidade de Barcelos,Cláudio Ruivo Pereira,Match Report,
,,,,,,,,,,,,,
4,Fri,2022-08-26,20:15,Paços,0.7,0–3,2.1,Estoril,2469,Estádio da Capital do Móvel,Carlos Macedo,Match Report,
4,Sat,2022-08-27,15:30,Marítimo,0.9,0–1,1.3,Portimonense,4785,Estádio dos Barreiros,Manuel Mota,Match Report,
4,Sat,2022-08-27,18:00,Boavista,0.1,0–3,2.9,Benfica,10939,Estádio do Bessa Século XXI,João Pinheiro,Match Report,
4,Sat,2022-08-27,20:30,Sporting CP,1.7,0–2,0.6,Chaves,31408,Estádio José Alvalade,André Narciso,Match Report,
4,Sun,2022-08-28,15:30,Famalicão,1.5,1–0,0.9,Santa Clara,3636,Estádio Municipal 22 de Junho,Fábio Veríssimo,Match Report,
4,Sun,2022-08-28,18:00,Arouca,0.8,0–6,2.6,Braga,2348,Estádio Municipal de Arouca,Gustavo Correia,Match Report,
4,Sun,2022-08-28,20:30,Rio Ave,0.7,3–1,2.3,Porto,3980,Estádio do Rio Ave Futebol Clube,Tiago Martins,Match Report,
