,id,name,address,postalcode,city,birthday,phone,country,active,excluded,age
0,1,Breena Connow,16 Acker Alley,,Villa Serrano,1978-12-31,722-967-3477,Bolivia,True,False,44
1,2,Harris Dunkerton,8356 Talisman Crossing,99871,Inari,1990-12-03,909-642-7516,Finland,True,False,32
2,3,Merrie Grindle,3 Homewood Junction,,Cengjia,1944-10-13,876-111-3766,China,False,True,78
3,4,Arlan Morstatt,05 Straubel Place,13315-000,Cabreúva,1945-03-03,870-897-0217,Brazil,True,False,77
4,5,Kiele Dedrick,947 Mallard Drive,3515-517,Bodiosa a Velha,1950-02-26,879-743-0896,Portugal,True,False,72
5,6,Ella Petzold,749 Valley Edge Way,576 24,Sävsjö,2003-10-08,173-909-8077,Sweden,True,False,19
6,7,Harrison Cornbill,03754 Welch Center,,Ngulangan,1983-12-20,385-559-3976,Indonesia,True,False,39
7,8,Luise Creebo,1 Hooker Center,,Tobelo,2002-01-05,758-131-4995,Indonesia,True,False,20
8,9,Michael Trevers,54 Susan Way,,Jinghai,1965-05-05,501-749-6141,China,False,True,57
9,10,Graham Kamall,5017 Stuart Court,,Hetang,1976-06-20,864-657-5721,China,True,False,46
10,11,Merline Malins,789 Doe Crossing Way,,Kaniv,1987-01-11,438-264-9534,Ukraine,False,True,35
11,12,Ber Khristyukhin,2787 Hermina Park,,Guri i Zi,1959-02-18,440-382-9380,Albania,True,False,63
12,13,Saundra Kingescot,48080 Green Ridge Pass,,Fankeng,1969-05-31,502-556-9990,China,False,True,53
13,14,Noami Aulsford,06424 Glacier Hill Way,2270,Ormož,1995-04-26,817-127-0015,Slovenia,True,False,27
14,15,Kira Fenners,16817 Atwood Alley,3109,Buliran Segundo,1968-05-28,762-554-9772,Philippines,False,True,54
15,16,Murielle Cervantes,79356 Onsgard Way,140209,Lopatinskiy,1988-04-08,225-210-0603,Russia,False,False,34
16,17,Nelli Keppel,1184 Meadow Vale Way,64-720,Lubasz,1978-01-17,901-391-0642,Poland,False,False,44
17,18,Bronnie Simoes,03 Pepper Wood Terrace,,Bangkal,1940-11-15,221-634-8532,Indonesia,False,True,82
18,19,Eloisa Croughan,87539 Everett Hill,,Ciguna,1959-09-19,693-682-6538,Indonesia,True,False,63
19,20,Drew Nyssens,945 Anhalt Junction,4123,Alfonso,1982-07-27,969-460-7677,Philippines,True,False,40
20,21,Aleen Wooles,57 Bunker Hill Parkway,87140,Los Pinos,2002-09-07,603-365-3196,Mexico,True,False,20
21,22,Brenna Petow,2541 Melody Avenue,,Shanmuqiao,1965-12-14,409-850-1660,China,False,False,57
22,23,Nealson Chatelain,81315 Jackson Road,20404,Washington,1964-03-17,202-360-3627,United States,False,True,58
23,24,Katharine Belsham,18 Annamark Junction,,Yinyang,1982-06-21,935-783-9198,China,True,False,40
24,25,Natalee Naisbitt,6 Farragut Crossing,3714,Masaraway,1961-09-18,753-702-2316,Philippines,False,False,61
25,26,Gisella Haycock,6922 New Castle Terrace,,Gayamsari,1944-02-28,166-934-0100,Indonesia,True,False,78
26,27,Finlay Bygraves,91 Jenifer Parkway,763518,Ginebra,1946-10-22,417-839-6502,Colombia,False,True,76
27,28,Tommie Gertz,79493 Autumn Leaf Hill,,Lianovérgi,1944-10-03,920-425-2604,Greece,True,False,78
28,29,Oates Livzey,86 Anzinger Crossing,30302,San Diego,1957-05-23,324-471-1509,Costa Rica,False,False,65
29,30,Gizela Reilingen,97066 Center Circle,,Taifu,1972-03-02,720-459-1650,China,True,False,50
30,31,Flor Gerdts,3527 Darwin Lane,3109,Viale,1997-01-18,608-142-9332,Argentina,True,False,25
31,32,Tiebout Carnson,90270 Service Parkway,4515,Jovellar,1970-01-23,389-439-5778,Philippines,False,True,52
32,33,Allen Heath,40265 Stoughton Crossing,,Lianokládhion,1951-05-05,944-562-5655,Greece,False,True,71
33,34,Kristy McIlmurray,386 Kropf Park,,Mirovka,1954-06-04,765-286-0564,Ukraine,False,False,68
34,35,Jesselyn Pennells,65 Sycamore Lane,606950,Tonshayevo,1954-01-01,788-303-2232,Russia,False,True,68
35,36,Erek Ullock,17 4th Place,141 21,Huddinge,1942-06-18,882-948-7548,Sweden,True,False,80
36,37,Gabe Gatheridge,219 Magdeline Trail,576 24,Sävsjö,1962-05-21,489-355-7060,Sweden,False,False,60
37,38,Derick Mazey,5612 Shopko Place,43-356,Bujaków,1994-07-06,492-988-1310,Poland,False,True,28
38,39,Duncan Portwain,836 Gerald Park,56260-000,Ipubi,1993-01-25,135-201-0089,Brazil,False,True,29
39,40,Anett Prydie,649 Texas Crossing,11009,El Asintal,1991-07-03,799-120-2628,Guatemala,True,False,31
40,41,Irena Altamirano,0 Blackbird Drive,5400-674,Santa Cruz,1973-03-29,665-998-1869,Portugal,True,False,49
41,42,Kimbell Duddle,154 Brentwood Terrace,,Sandaohezi,1975-05-29,976-553-9167,China,False,True,47
42,43,Shayna Crothers,88 Northview Circle,,Batakte,1973-01-12,582-789-0437,Indonesia,False,True,49
43,44,Rossie Mullen,323 Helena Road,4620-400,Picoto,1954-06-20,690-911-5951,Portugal,False,True,68
44,45,Rainer Cusworth,312 Ramsey Alley,,Hatu Buh,1944-11-13,155-471-9668,China,False,True,78
45,46,Brice Kelshaw,79575 Hansons Terrace,,Cibitungmasjid,1949-08-08,638-828-2377,Indonesia,True,False,73
46,47,Madelle Ales,8844 Bay Pass,2921,Caminauit,1969-02-12,886-480-3033,Philippines,False,True,53
47,48,Madeline Burdfield,9975 Killdeer Junction,,Kananga,1995-03-07,595-753-8733,Democratic Republic of the Congo,True,False,27
48,49,Linea Gayton,31 Waubesa Street,,Yankou,1965-05-20,525-471-0702,China,True,False,57
49,50,Alfred MacGibbon,8 Laurel Terrace,,Ziroudani,1980-08-07,884-275-1166,Comoros,False,True,42
50,51,Emmalynne Dottrell,507 Sunbrook Center,,Chavusy,1979-06-05,762-148-8361,Belarus,False,True,43
51,52,Cassey Cicullo,6 Mandrake Park,,Nicosia,1957-05-07,695-315-6467,Cyprus,False,False,65
52,53,Paulie Piechnik,027 Porter Hill,,Sendangagung,1983-03-03,780-428-2833,Indonesia,True,False,39
53,54,Garwin Follett,52 Manufacturers Parkway,52081,Rasūlnagar,1946-03-06,806-843-7923,Pakistan,False,True,76
54,55,Leonard Sinkin,4 Oak Valley Alley,,Durazno,1972-07-19,479-281-2887,Uruguay,False,True,50
55,56,Colin Knock,24330 Summer Ridge Plaza,96840,Honolulu,1948-03-15,808-224-0784,United States,True,False,74
56,57,Culver Mulqueeny,984 Northwestern Center,,Taifu,1986-03-10,802-552-6336,China,False,True,36
