id,name,address,postalcode,city,birthday,phone,country,active,excluded
1,Breena Connow,16 Acker Alley,,Villa Serrano,31/12/1978,722-967-3477,Bolivia,true,false
2,Harris Dunkerton,8356 Talisman Crossing,99871,Inari,12/03/1990,909-642-7516,Finland,true,true
3,Merrie Grindle,3 Homewood Junction,,Cengjia,13/10/1944,876-111-3766,China,false,true
4,Arlan Morstatt,05 Straubel Place,13315-000,Cabreúva,03/03/1945,870-897-0217,Brazil,true,false
5,Kiele Dedrick,947 Mallard Drive,3515-517,Bodiosa a Velha,26/02/1950,879-743-0896,Portugal,true,false
6,Ella Petzold,749 Valley Edge Way,576 24,Sävsjö,10/08/2003,173-909-8077,Sweden,true,false
7,Harrison Cornbill,03754 Welch Center,,Ngulangan,20/12/1983,385-559-3976,Indonesia,true,true
8,Luise Creebo,1 Hooker Center,,Tobelo,01/05/2002,758-131-4995,Indonesia,true,false
9,Michael Trevers,54 Susan Way,,Jinghai,05/05/1965,501-749-6141,China,false,true
10,Graham Kamall,5017 Stuart Court,,Hetang,20/06/1976,864-657-5721,China,true,false
11,Merline Malins,789 Doe Crossing Way,,Kaniv,01/11/1987,438-264-9534,Ukraine,false,true
12,Ber Khristyukhin,2787 Hermina Park,,Guri i Zi,18/02/1959,440-382-9380,Albania,true,true
13,Saundra Kingescot,48080 Green Ridge Pass,,Fankeng,31/05/1969,502-556-9990,China,false,true
14,Noami Aulsford,06424 Glacier Hill Way,2270,Ormož,26/04/1995,817-127-0015,Slovenia,true,false
15,Kira Fenners,16817 Atwood Alley,3109,Buliran Segundo,28/05/1968,762-554-9772,Philippines,false,true
16,Murielle Cervantes,79356 Onsgard Way,140209,Lopatinskiy,04/08/1988,225-210-0603,Russia,false,false
17,Nelli Keppel,1184 Meadow Vale Way,64-720,Lubasz,17/01/1978,901-391-0642,Poland,false,false
18,Bronnie Simoes,03 Pepper Wood Terrace,,Bangkal,15/11/1940,221-634-8532,Indonesia,false,true
